STATE,CLASS,GENDER,AGE,PAID
10.0,6.0,1.0,97,1134.44
11.0,6.0,1.0,96,3761.24
11.0,1.0,1.0,95,7842.31
11.0,15.0,0.0,95,2384.67
11.0,15.0,1.0,95,650.0
11.0,15.0,1.0,95,391.12
11.0,1.0,1.0,94,3775.83
6.0,6.0,1.0,94,415.35
10.0,1.0,1.0,93,2283.56
2.0,1.0,1.0,93,665.48
1.0,6.0,1.0,93,414.0
10.0,14.0,1.0,93,285.94
11.0,15.0,1.0,92,3488.99
10.0,6.0,1.0,92,2428.0
11.0,6.0,0.0,92,2049.26
5.0,6.0,0.0,92,1129.89
1.0,1.0,0.0,92,654.0
2.0,1.0,1.0,92,366.28
10.0,15.0,0.0,92,132.5
11.0,1.0,1.0,91,3890.07
11.0,1.0,1.0,91,2927.76
11.0,6.0,1.0,91,2345.71
11.0,1.0,1.0,91,984.89
3.0,1.0,0.0,91,438.04
3.0,6.0,1.0,91,295.99
11.0,6.0,1.0,91,268.5
1.0,1.0,1.0,90,11756.34
2.0,6.0,0.0,90,8693.25
11.0,15.0,1.0,90,7261.51
11.0,6.0,0.0,90,5663.66
1.0,1.0,1.0,90,3746.15
0.0,15.0,1.0,90,2607.82
0.0,6.0,0.0,90,2402.0
5.0,6.0,0.0,90,2342.32
12.0,6.0,0.0,90,2104.31
11.0,1.0,1.0,90,1882.33
11.0,6.0,1.0,90,1418.0
0.0,6.0,1.0,90,1400.0
11.0,6.0,1.0,90,1103.32
11.0,1.0,1.0,90,1092.1
11.0,0.0,1.0,90,1038.88
1.0,1.0,1.0,90,1013.06
0.0,1.0,1.0,90,802.91
3.0,1.0,1.0,90,656.54
5.0,6.0,0.0,90,296.97
11.0,6.0,1.0,90,267.43
11.0,0.0,0.0,90,249.1
11.0,0.0,0.0,90,187.79
12.0,6.0,1.0,89,59113.78
11.0,1.0,0.0,89,3681.48
10.0,13.0,1.0,89,2836.69
11.0,6.0,1.0,89,2495.7
3.0,1.0,0.0,89,2250.0
11.0,6.0,1.0,89,1903.21
2.0,1.0,1.0,89,1678.27
11.0,6.0,0.0,89,1553.42
12.0,1.0,0.0,89,1157.42
11.0,1.0,1.0,89,1074.51
11.0,6.0,1.0,89,935.26
12.0,1.0,0.0,89,915.77
11.0,1.0,0.0,89,877.24
5.0,6.0,1.0,89,854.67
1.0,6.0,1.0,89,785.25
4.0,6.0,1.0,89,645.46
11.0,6.0,1.0,89,580.67
2.0,1.0,1.0,89,487.7
4.0,6.0,1.0,89,479.37
3.0,1.0,0.0,89,328.09
11.0,6.0,1.0,89,275.0
3.0,15.0,1.0,89,264.13
11.0,1.0,1.0,89,55.0
2.0,1.0,1.0,88,14833.3
12.0,1.0,0.0,88,3909.14
8.0,6.0,0.0,88,3876.6
11.0,6.0,1.0,88,3845.0
11.0,6.0,1.0,88,3106.54
3.0,1.0,0.0,88,3025.0
11.0,6.0,0.0,88,2750.0
4.0,6.0,0.0,88,2612.74
1.0,1.0,1.0,88,2057.77
11.0,6.0,1.0,88,1861.25
11.0,1.0,1.0,88,1773.92
11.0,6.0,1.0,88,1500.0
11.0,15.0,1.0,88,1259.89
12.0,6.0,1.0,88,1250.85
11.0,0.0,0.0,88,1146.25
8.0,6.0,1.0,88,1030.83
3.0,0.0,1.0,88,1008.0
11.0,6.0,1.0,88,900.0
11.0,6.0,0.0,88,825.2
11.0,1.0,1.0,88,824.85
2.0,1.0,1.0,88,672.2
3.0,1.0,1.0,88,669.5
11.0,15.0,0.0,88,664.34
11.0,1.0,1.0,88,646.08
12.0,6.0,1.0,88,641.15
3.0,1.0,1.0,88,586.43
11.0,1.0,1.0,88,581.64
1.0,1.0,1.0,88,428.97
10.0,1.0,1.0,88,408.39
1.0,6.0,0.0,87,8594.93
5.0,6.0,1.0,87,5664.35
11.0,6.0,1.0,87,4494.59
4.0,0.0,1.0,87,4330.29
12.0,1.0,0.0,87,4235.53
11.0,15.0,1.0,87,3953.84
2.0,1.0,1.0,87,3841.66
11.0,6.0,1.0,87,3584.5
1.0,1.0,1.0,87,3121.37
11.0,6.0,1.0,87,2730.03
3.0,6.0,0.0,87,2700.03
11.0,1.0,1.0,87,2434.85
11.0,15.0,1.0,87,1812.46
11.0,1.0,0.0,87,1683.52
11.0,6.0,0.0,87,1665.51
11.0,1.0,1.0,87,1414.2
11.0,1.0,1.0,87,1250.4
11.0,15.0,1.0,87,1145.95
6.0,1.0,1.0,87,1015.02
3.0,6.0,1.0,87,897.81
12.0,15.0,1.0,87,865.9
11.0,6.0,1.0,87,800.16
12.0,1.0,1.0,87,711.34
11.0,6.0,0.0,87,705.0
2.0,13.0,1.0,87,670.34
11.0,1.0,0.0,87,580.0
11.0,6.0,0.0,87,540.07
0.0,6.0,1.0,87,532.04
9.0,1.0,0.0,87,528.32
5.0,1.0,1.0,87,518.55
2.0,1.0,0.0,87,470.77
11.0,6.0,0.0,87,245.82
12.0,6.0,0.0,87,239.37
11.0,6.0,1.0,87,206.1
5.0,1.0,1.0,87,78.34
11.0,6.0,1.0,87,30.0
11.0,6.0,0.0,86,6384.0
3.0,6.0,0.0,86,4623.97
11.0,6.0,1.0,86,4467.92
9.0,0.0,1.0,86,3266.49
3.0,15.0,1.0,86,2798.26
11.0,15.0,1.0,86,2500.0
11.0,6.0,1.0,86,2474.4
12.0,1.0,0.0,86,2090.07
11.0,6.0,1.0,86,2031.61
6.0,1.0,0.0,86,1973.82
11.0,6.0,0.0,86,1892.19
11.0,6.0,1.0,86,1887.92
1.0,1.0,1.0,86,1702.24
6.0,6.0,0.0,86,1541.1
11.0,6.0,1.0,86,1354.93
1.0,15.0,0.0,86,1302.65
3.0,15.0,1.0,86,1302.13
1.0,1.0,1.0,86,1263.51
11.0,6.0,1.0,86,1092.8
1.0,15.0,0.0,86,1045.0
1.0,1.0,1.0,86,1008.53
11.0,6.0,1.0,86,879.3
3.0,1.0,1.0,86,811.51
11.0,6.0,0.0,86,701.52
1.0,1.0,1.0,86,625.52
12.0,1.0,1.0,86,557.18
11.0,15.0,1.0,86,519.75
1.0,15.0,0.0,86,499.59
1.0,0.0,1.0,86,499.28
11.0,14.0,1.0,86,484.03
11.0,15.0,0.0,86,435.0
1.0,14.0,1.0,86,402.32
12.0,15.0,0.0,86,376.0
11.0,6.0,0.0,86,365.26
11.0,6.0,0.0,86,357.0
2.0,6.0,1.0,86,351.38
10.0,6.0,1.0,86,333.37
3.0,15.0,1.0,86,329.16
12.0,6.0,0.0,86,322.34
2.0,1.0,0.0,86,318.07
11.0,6.0,0.0,86,239.4
10.0,1.0,1.0,86,196.1
0.0,6.0,1.0,86,122.41
11.0,6.0,0.0,86,71.19
11.0,6.0,0.0,85,12234.82
12.0,1.0,1.0,85,10829.25
10.0,6.0,0.0,85,10630.81
0.0,1.0,1.0,85,10524.64
11.0,15.0,1.0,85,7238.13
11.0,1.0,1.0,85,7186.92
12.0,6.0,1.0,85,6854.02
11.0,1.0,1.0,85,6710.3
4.0,1.0,0.0,85,6130.31
8.0,6.0,0.0,85,4338.29
1.0,6.0,0.0,85,4277.12
11.0,6.0,0.0,85,3783.74
4.0,6.0,0.0,85,3735.9
11.0,15.0,1.0,85,3610.27
11.0,15.0,1.0,85,3549.95
11.0,1.0,1.0,85,3425.62
1.0,15.0,0.0,85,3376.9
8.0,6.0,1.0,85,3206.76
11.0,6.0,0.0,85,2788.24
11.0,6.0,1.0,85,2764.49
1.0,6.0,1.0,85,2724.04
11.0,6.0,1.0,85,2334.58
11.0,15.0,1.0,85,2300.0
11.0,1.0,0.0,85,2269.0
3.0,6.0,0.0,85,2249.45
3.0,1.0,1.0,85,2169.88
1.0,1.0,1.0,85,2015.32
11.0,6.0,1.0,85,1929.81
12.0,15.0,0.0,85,1924.69
11.0,6.0,1.0,85,1638.49
11.0,1.0,1.0,85,1209.52
1.0,1.0,0.0,85,1200.0
10.0,1.0,1.0,85,1134.63
11.0,1.0,0.0,85,1061.8
3.0,1.0,1.0,85,1056.18
3.0,6.0,1.0,85,1006.41
11.0,15.0,1.0,85,989.28
11.0,15.0,1.0,85,970.31
12.0,1.0,0.0,85,945.8
1.0,1.0,1.0,85,899.13
3.0,1.0,0.0,85,892.6
11.0,6.0,0.0,85,865.12
4.0,1.0,1.0,85,782.2
3.0,15.0,1.0,85,774.68
2.0,1.0,0.0,85,742.91
4.0,0.0,1.0,85,683.57
3.0,0.0,0.0,85,666.33
1.0,6.0,0.0,85,649.74
1.0,6.0,1.0,85,628.19
12.0,1.0,0.0,85,503.78
1.0,6.0,1.0,85,498.74
3.0,1.0,1.0,85,444.39
2.0,1.0,0.0,85,405.39
11.0,0.0,0.0,85,382.33
5.0,6.0,1.0,85,304.22
0.0,15.0,1.0,85,274.8
2.0,1.0,0.0,85,248.49
11.0,6.0,0.0,85,195.3
1.0,6.0,1.0,85,193.23
11.0,15.0,0.0,85,187.72
11.0,6.0,0.0,85,179.55
11.0,6.0,0.0,85,135.67
1.0,6.0,1.0,85,101.16
11.0,6.0,0.0,85,86.43
2.0,0.0,1.0,84,14639.15
8.0,0.0,0.0,84,11010.46
5.0,3.0,1.0,84,10174.4
4.0,15.0,1.0,84,9475.74
5.0,1.0,0.0,84,9437.95
11.0,1.0,1.0,84,8124.98
3.0,1.0,0.0,84,7833.52
4.0,1.0,1.0,84,7610.0
12.0,1.0,1.0,84,7326.67
12.0,15.0,1.0,84,6986.85
11.0,6.0,1.0,84,6746.98
1.0,6.0,1.0,84,5301.72
